번호,카테고리,제목,날짜,URL
7383,일반공지,2025 오픈소스 개발자대회,2025-05-23,https://cse.knu.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=28616
7382,일반공지,[현장실습] 2025-하계 현장실습 참여학생 공개모집,2025-05-22,https://cse.knu.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=28615
7381,학사,(중심대학)2025년도 창업해커톤 경진대회 운영 안내,2025-05-22,https://cse.knu.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=28614
7380,일반공지,2025학년도 하계방학 생활관 기혼자실(누리·보람·선의관) 모집 안내,2025-05-22,https://cse.knu.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=28613
7379,일반공지,[TUTOR] 2025-1학기 학부생 튜터 근무일지(05월) 제출 및 인건비 지급을 위한 서류 제출 안내,2025-05-21,https://cse.knu.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=28612
7378,심컴,"(필수 업로드링크, 설문링크)[2025.8월 졸업예정자] 설계포트폴리오 제출 및 Exit 인터뷰 안내",2025-05-21,https://cse.knu.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=28611
7377,일반공지,[TUTOR] 2025학년도 여름계절학기 학부생 TUTOR 모집,2025-05-21,https://cse.knu.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=28610
7376,장학,"2025학년도 2학기 국가장학금, 국가근로장학금, 주거안정장학금 1차 신청 안내",2025-05-21,https://cse.knu.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=28609
7375,일반공지,[중심대학] 2025년 대경권 대학생 프로그래밍 경진대회 결과 안내,2025-05-20,https://cse.knu.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=28608
7374,일반공지,2025학년도 하계 AEP프로그램 신청자 모집 안내,2025-05-20,https://cse.knu.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=28607
7373,일반공지,2025학년도 1학기 첨성인 아너스 클럽 운영 계획에 따른 신청  안내,2025-05-19,https://cse.knu.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=28606
7372,일반공지,[국제] 2025학년도 1학기 해외석학 초청 강연 시리즈 안내,2025-05-19,https://cse.knu.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=28605
7371,일반공지,[중심대학] 2025학년도 1학기 제8회 글로벌SW역량강화 정기세미나  「조선산업과 디지털 트랜스포메이션」 …,2025-05-16,https://cse.knu.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=28604
7370,일반공지,42경산 3기 라피신 교육생 모집 안내,2025-05-15,https://cse.knu.ac.kr/bbs/board.php?bo_table=sub5_1&wr_id=28603
